-10,-100
-10,-90
-10,-30
-10,-20
0,-90
0,-80
0,-40
0,-30
10,-120
10,-90
10,-70
10,-50
10,-30
10,0
20,-120
20,-110
20,-100
20,-80
20,-70
20,-50
20,-40
20,-20
20,-10
20,0
30,-110
30,-90
30,-70
30,-50
30,-30
30,-10
40,-100
40,-90
40,-80
40,-40
40,-30
40,-20
60,-100
60,-90
60,-80
60,-40
60,-30
60,-20
70,-110
70,-90
70,-70
70,-50
70,-30
70,-10
80,-120
80,-110
80,-100
80,-80
80,-70
80,-50
80,-40
80,-20
80,-10
80,0
90,-120
90,-90
90,-70
90,-50
90,-30
90,0
100,-90
100,-80
100,-40
100,-30
110,-100
110,-90
110,-30
110,-20
310,-10
310,0
320,-20
320,0
330,-10
