-270,20
-270,30
-260,20
-260,30
-220,0
-220,10
-170,-10
-170,0
-170,40
-170,50
-160,0
-160,10
-160,20
-160,30
-160,40
-150,0
-150,10
-150,30
-150,40
-140,0
-140,10
-140,30
-140,40
-130,10
-130,20
-130,30
-60,-20
-50,-20
-50,0
-50,40
-40,-20
-40,-10
-40,30
-40,40
-40,50
-30,20
-30,30
-30,40
-30,50
-30,60
-20,10
-20,30
-20,50
-20,70
-10,10
-10,20
-10,60
-10,70
10,-90
20,-100
20,40
30,-100
30,-90
30,-80
30,30
30,50
40,30
40,50
50,40
60,40
60,50
70,40
70,50
80,40
80,50
90,-170
100,-170
100,-150
110,-170
110,-160
160,-230
160,-220
170,-230
170,-22
